iter	Logloss
0	0.6880560785
1	0.6831143124
2	0.6782189192
3	0.6735175627
4	0.6689015203
5	0.6644059232
6	0.6599442642
7	0.6556376277
8	0.651219627
9	0.6469693817
10	0.6428045175
11	0.6386337858
12	0.6345267979
13	0.6304819102
14	0.6266273343
15	0.6228546459
16	0.6199483487
17	0.6170251981
18	0.6134184087
19	0.6115727951
20	0.6080032732
21	0.6051475729
22	0.603007654
23	0.6011118514
24	0.599056498
25	0.5973227782
26	0.5956509274
27	0.5937038645
28	0.5902490178
29	0.5883455159
30	0.5868966917
31	0.5834757406
32	0.5818166044
33	0.5799564381
34	0.5782011722
35	0.5760445338
36	0.5717711477
37	0.569399176
38	0.5676268253
39	0.5661467349
40	0.564467623
41	0.5622116168
42	0.5608587885
43	0.559489618
44	0.5576780279
45	0.5555302088
46	0.5537081682
47	0.5521880836
48	0.5493192304
49	0.5480216551
50	0.5465383815
51	0.544841351
52	0.5430868641
53	0.5406524999
54	0.5392594279
55	0.537836946
56	0.5362294718
57	0.5334935167
58	0.5320323979
59	0.5284651584
60	0.5272438466
61	0.5251943058
62	0.5237047814
63	0.5224427694
64	0.5212672157
65	0.5198074176
66	0.517872832
67	0.5159317644
68	0.5125512761
69	0.5097365134
70	0.5083295338
71	0.507257091
72	0.5060054686
73	0.5046795486
74	0.501155237
75	0.5001719977
76	0.4966567366
77	0.4940136003
78	0.4928017226
79	0.4917585436
80	0.4904543158
81	0.4890265265
82	0.4873797155
83	0.4857687233
84	0.4848039929
85	0.4836265281
86	0.4807344124
87	0.4796230467
88	0.4784224654
89	0.4764272707
90	0.473556482
91	0.4712144557
92	0.4701102112
93	0.468698405
94	0.4677988607
95	0.4652166987
96	0.4640483636
97	0.4629849836
98	0.4617952119
99	0.459184413
100	0.4566390437
101	0.4540792434
102	0.4514253644
103	0.4505715783
104	0.4496327945
105	0.4473697828
106	0.4452528769
107	0.4435128941
108	0.4413749594
109	0.4398547105
110	0.4388904244
111	0.437849607
112	0.4370114144
113	0.4345439459
114	0.4334698294
115	0.4325523605
116	0.4310146799
117	0.4300987204
118	0.4276133576
119	0.4266951401
120	0.4256808901
121	0.4247148572
122	0.4222871638
123	0.4199047903
124	0.4180340153
125	0.4158905297
126	0.4151261538
127	0.4136930632
128	0.412000275
129	0.4110907976
130	0.4097712623
131	0.4075874386
132	0.4064601659
133	0.4052477191
134	0.4043797606
135	0.4035490452
136	0.4013708668
137	0.3992379139
138	0.3982610744
139	0.3963852903
140	0.3951905855
141	0.3931555761
142	0.3923252442
143	0.3911452352
144	0.3903418268
145	0.3891898765
146	0.3872289091
147	0.386475501
148	0.3853899602
149	0.3835398671
150	0.3824995914
151	0.3811873507
152	0.3805236238
153	0.3789824709
154	0.3782904784
155	0.3771758017
156	0.3753349752
157	0.3746923775
158	0.3728646521
159	0.3714599792
160	0.370768924
161	0.3697347409
162	0.3679892894
163	0.3671182846
164	0.3664366605
165	0.3658341178
166	0.3646924202
167	0.3632880395
168	0.3623557469
169	0.3615980784
170	0.3605658672
171	0.3592420075
172	0.3585194001
173	0.3568557599
174	0.356010857
175	0.3543991284
176	0.3537592635
177	0.3522590604
178	0.3513771943
179	0.3507330293
180	0.3492709732
181	0.3486644561
182	0.3472115509
183	0.3464998535
184	0.3458276421
185	0.3446668481
186	0.3440212224
187	0.3425380614
188	0.3417556696
189	0.3410960237
190	0.3405692455
191	0.3397252859
192	0.3386502352
193	0.3372178901
194	0.3358177943
195	0.3345166706
196	0.3337129335
197	0.3331856866
198	0.3326507008
199	0.3313634604
200	0.3295926648
201	0.3290288078
202	0.3283557656
203	0.3277457184
204	0.3272996742
205	0.3265263512
206	0.3260541961
207	0.3247828261
208	0.3235656197
209	0.3231183278
210	0.3218060384
211	0.3213182198
212	0.3208640015
213	0.3203300017
214	0.3191160484
215	0.3185653687
216	0.3174308561
217	0.3161654965
218	0.3156291473
219	0.31517936
220	0.3146590334
221	0.3139908026
222	0.3128620478
223	0.312360142
224	0.3118199887
225	0.3103315264
226	0.3098577797
227	0.3091998958
228	0.308064309
229	0.3076136573
230	0.3065232139
231	0.3060436698
232	0.3049781991
233	0.3039455711
234	0.3034858293
235	0.30297791
236	0.3018278465
237	0.3011695579
238	0.3004677388
239	0.2995171077
240	0.2985238987
241	0.2980378055
