iter	Passed	Remaining
0	210	210152
1	249	124607
2	279	92801
3	306	76382
4	334	66539
5	364	60363
6	388	55103
7	408	50669
8	432	47666
9	455	45120
10	481	43265
11	508	41870
12	542	41165
13	581	40966
14	612	40206
15	653	40202
16	680	39346
17	716	39103
18	747	38608
19	784	38446
20	805	37532
21	827	36785
22	852	36223
23	890	36204
24	916	35736
25	938	35151
26	959	34568
27	983	34149
28	1006	33710
29	1029	33276
30	1046	32712
31	1063	32164
32	1080	31659
33	1098	31213
34	1123	30975
35	1141	30560
36	1159	30178
37	1177	29814
38	1194	29437
39	1211	29082
40	1227	28713
41	1242	28342
42	1257	27997
43	1273	27680
44	1288	27353
45	1304	27052
46	1320	26772
47	1341	26607
48	1360	26406
49	1376	26159
50	1396	25986
51	1416	25830
52	1436	25675
53	1455	25497
54	1472	25293
55	1488	25099
56	1507	24936
57	1528	24829
58	1559	24872
59	1586	24862
60	1617	24897
61	1652	25005
62	1678	24970
63	1708	24983
64	1739	25015
65	1776	25139
66	1805	25140
67	1838	25203
68	1866	25184
69	1893	25157
70	1924	25178
71	1951	25154
72	1982	25175
73	2023	25322
74	2049	25278
75	2077	25253
76	2100	25177
77	2126	25133
78	2151	25082
79	2174	25005
80	2196	24918
81	2214	24794
82	2238	24732
83	2267	24723
84	2286	24617
85	2304	24493
86	2321	24367
87	2338	24230
88	2354	24099
89	2371	23976
90	2387	23848
91	2404	23731
92	2419	23599
93	2436	23487
94	2459	23433
95	2481	23370
96	2503	23303
97	2537	23357
98	2570	23389
99	2604	23440
100	2634	23451
101	2670	23507
102	2694	23466
103	2719	23433
104	2742	23373
105	2759	23270
106	2780	23208
107	2802	23143
108	2820	23055
109	2837	22961
110	2854	22859
111	2874	22787
112	2896	22738
113	2922	22710
114	2942	22642
115	2967	22612
116	2987	22545
117	3004	22457
118	3022	22377
119	3041	22302
120	3060	22235
121	3079	22165
122	3097	22082
123	3113	21993
124	3131	21921
125	3148	21837
126	3164	21755
127	3190	21737
128	3211	21686
129	3228	21606
130	3248	21546
131	3271	21515
132	3294	21476
133	3315	21427
134	3335	21372
135	3353	21306
136	3373	21253
137	3398	21229
138	3417	21167
139	3436	21110
140	3456	21057
141	3480	21027
142	3503	20998
143	3526	20961
144	3546	20914
145	3568	20871
146	3606	20928
147	3648	21002
148	3692	21089
149	3726	21115
150	3763	21162
151	3810	21260
152	3840	21263
153	3861	21215
154	3887	21190
155	3920	21209
156	3952	21222
157	3982	21224
158	4008	21202
159	4040	21215
160	4067	21195
161	4087	21145
162	4112	21116
163	4137	21090
164	4161	21059
165	4192	21064
166	4225	21075
167	4253	21062
168	4278	21036
169	4302	21008
170	4326	20974
171	4347	20926
172	4365	20869
173	4383	20809
174	4399	20741
175	4418	20685
176	4435	20624
177	4460	20598
178	4484	20568
179	4506	20531
180	4529	20496
181	4551	20456
182	4590	20495
183	4616	20471
184	4642	20450
185	4661	20402
186	4679	20344
187	4697	20287
188	4724	20274
189	4753	20264
190	4783	20258
191	4807	20231
192	4833	20209
193	4858	20184
194	4882	20154
195	4911	20147
196	4937	20127
197	4967	20122
198	4998	20118
199	5022	20090
200	5043	20046
201	5061	19996
202	5080	19946
203	5099	19899
204	5119	19853
205	5138	19805
206	5157	19759
207	5180	19725
208	5208	19710
209	5227	19664
210	5250	19635
211	5279	19623
212	5310	19620
213	5336	19599
214	5363	19583
215	5398	19595
216	5428	19586
217	5461	19590
218	5497	19605
219	5529	19603
220	5563	19611
221	5606	19647
222	5678	19784
223	5718	19809
224	5766	19862
225	5805	19883
226	5836	19873
227	5869	19875
228	5904	19880
229	5928	19847
230	5954	19822
231	5996	19851
232	6021	19820
233	6042	19780
234	6062	19735
235	6090	19716
236	6124	19718
237	6154	19704
238	6179	19676
239	6204	19646
240	6231	19626
241	6258	19603
242	6285	19581
243	6314	19563
244	6338	19534
245	6366	19515
246	6392	19488
247	6422	19476
248	6450	19454
249	6478	19436
250	6507	19418
251	6537	19403
252	6567	19390
253	6596	19372
254	6626	19359
255	6658	19351
256	6682	19318
257	6701	19273
258	6718	19221
259	6735	19169
260	6757	19133
261	6784	19111
262	6811	19088
